nome 1	linha 1	nome 2	linha 2
s.b. oliveira	Membro Externo	danns pereira barbosa	Membro Externo
s.b. oliveira	Membro Externo	danns pereira barbosa	Membro Externo
a. e. r. batista	Membro Externo	d. p. damaceno	Membro Externo
a. e. r. batista	Membro Externo	l. c campos	Membro Externo
a. e. r. batista	Membro Externo	m. e. borges	Membro Externo
a. e. r. batista	Membro Externo	s. sacho duarte	Membro Externo
a. e. r. batista	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
a. e. r. batista	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
a. e. r. batista	Membro Externo	w. mozena leandro	Membro Externo
d. p. damaceno	Membro Externo	l. c campos	Membro Externo
d. p. damaceno	Membro Externo	m. e. borges	Membro Externo
d. p. damaceno	Membro Externo	s. sacho duarte	Membro Externo
d. p. damaceno	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
d. p. damaceno	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
d. p. damaceno	Membro Externo	w. mozena leandro	Membro Externo
l. c campos	Membro Externo	m. e. borges	Membro Externo
l. c campos	Membro Externo	s. sacho duarte	Membro Externo
l. c campos	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
l. c campos	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
l. c campos	Membro Externo	w. mozena leandro	Membro Externo
m. e. borges	Membro Externo	s. sacho duarte	Membro Externo
m. e. borges	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
m. e. borges	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
m. e. borges	Membro Externo	w. mozena leandro	Membro Externo
s. sacho duarte	Membro Externo	l.c. campos	Membro Externo
s. sacho duarte	Membro Externo	w. mozena leandro	Membro Externo
s. sacho duarte	Membro Externo	w. mozena leandro	Membro Externo
s. sacho duarte	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
s. sacho duarte	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
s. sacho duarte	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
s. sacho duarte	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
joachim werner zang	Tecnologia e Gerenciamento de Resíduos	w. mozena leandro	Membro Externo
joachim werner zang	Tecnologia e Gerenciamento de Resíduos	w. mozena leandro	Membro Externo
joachim werner zang	Tecnologia e Gerenciamento de Resíduos	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
joachim werner zang	Tecnologia e Gerenciamento de Resíduos	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos	w. mozena leandro	Membro Externo
warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos	w. mozena leandro	Membro Externo
l.c. campos	Membro Externo	w. mozena leandro	Membro Externo
l.c. campos	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
l.c. campos	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
orlene s. costa	Membro Externo	s. b. oliveira	Membro Externo
orlene s. costa	Membro Externo	s. b. oliveira	Membro Externo
s. b. oliveira	Membro Externo	a. fernades	Membro Externo
s. b. oliveira	Membro Externo	g. b. nunes	Membro Externo
s. b. oliveira	Membro Externo	l. r. pinto	Membro Externo
s. b. oliveira	Membro Externo	i. l. fernandes	Membro Externo
a. fernades	Membro Externo	g. b. nunes	Membro Externo
a. fernades	Membro Externo	l. r. pinto	Membro Externo
a. fernades	Membro Externo	i. l. fernandes	Membro Externo
g. b. nunes	Membro Externo	l. r. pinto	Membro Externo
g. b. nunes	Membro Externo	i. l. fernandes	Membro Externo
l. r. pinto	Membro Externo	i. l. fernandes	Membro Externo
